Timestamp,Temperature (deg C),Relative Humidity (%),Wind Speed (km/h),Rain (mm),Snowfall (cm),Cloud Cover (%)
2022-01-01T00:00,-24.0,53,10.9,0.0,0.0,2
2022-01-01T01:00,-24.1,54,10.9,0.0,0.0,11
2022-01-01T02:00,-24.3,55,11.4,0.0,0.0,11
2022-01-01T03:00,-24.4,56,12.2,0.0,0.0,1
2022-01-01T04:00,-24.3,56,12.2,0.0,0.0,0
2022-01-01T05:00,-24.1,59,12.6,0.0,0.0,0
2022-01-01T06:00,-24.1,62,12.5,0.0,0.0,0
2022-01-01T07:00,-27.1,71,9.7,0.0,0.0,0
2022-01-01T08:00,-26.7,75,13.5,0.0,0.0,2
2022-01-01T09:00,-27.2,77,13.5,0.0,0.0,37
2022-01-01T10:00,-27.3,75,13.5,0.0,0.0,59
2022-01-01T11:00,-26.4,68,12.6,0.0,0.0,0
2022-01-01T12:00,-24.6,59,11.5,0.0,0.0,0
2022-01-01T13:00,-23.0,55,12.8,0.0,0.0,0
2022-01-01T14:00,-21.7,53,13.9,0.0,0.0,0
2022-01-01T15:00,-20.5,51,12.8,0.0,0.0,0
2022-01-01T16:00,-19.4,51,12.3,0.0,0.0,0
2022-01-01T17:00,-19.1,52,11.0,0.0,0.0,0
2022-01-01T18:00,-19.7,56,11.1,0.0,0.0,0
2022-01-01T19:00,-23.2,72,7.4,0.0,0.0,0
2022-01-01T20:00,-22.9,74,10.1,0.0,0.0,0
2022-01-01T21:00,-22.6,74,11.1,0.0,0.0,2
2022-01-01T22:00,-22.1,74,8.9,0.0,0.0,45
2022-01-01T23:00,-21.6,73,10.1,0.0,0.0,25
2022-01-02T00:00,-21.3,72,10.0,0.0,0.0,22
2022-01-02T01:00,-20.7,71,10.3,0.0,0.0,22
2022-01-02T02:00,-19.8,70,11.7,0.0,0.0,23
2022-01-02T03:00,-18.9,68,11.2,0.0,0.0,5
2022-01-02T04:00,-18.2,67,12.3,0.0,0.0,14
2022-01-02T05:00,-17.3,67,12.6,0.0,0.0,9
2022-01-02T06:00,-16.3,67,12.7,0.0,0.0,12
2022-01-02T07:00,-16.4,74,10.0,0.0,0.0,30
2022-01-02T08:00,-15.5,75,14.1,0.0,0.0,34
2022-01-02T09:00,-15.6,76,13.5,0.0,0.0,29
2022-01-02T10:00,-14.6,76,12.5,0.0,0.0,26
2022-01-02T11:00,-10.3,70,15.9,0.0,0.0,37
2022-01-02T12:00,-6.8,63,18.1,0.0,0.0,13
2022-01-02T13:00,-4.5,58,22.9,0.0,0.0,16
2022-01-02T14:00,-4.4,59,19.6,0.0,0.0,23
2022-01-02T15:00,-3.6,58,14.2,0.0,0.0,15
2022-01-02T16:00,-3.3,59,18.9,0.0,0.0,12
2022-01-02T17:00,-3.0,58,16.3,0.0,0.0,20
2022-01-02T18:00,-3.9,64,14.7,0.0,0.0,25
2022-01-02T19:00,-5.7,72,11.5,0.0,0.0,13
2022-01-02T20:00,-5.5,74,13.9,0.0,0.0,16
2022-01-02T21:00,-5.1,75,13.8,0.0,0.0,20
2022-01-02T22:00,-5.3,75,12.6,0.0,0.0,42
2022-01-02T23:00,-5.5,75,12.0,0.0,0.0,88
2022-01-03T00:00,-5.0,74,12.2,0.0,0.0,89
2022-01-03T01:00,-6.4,78,10.0,0.0,0.0,59
2022-01-03T02:00,-9.5,84,7.6,0.0,0.0,51
2022-01-03T03:00,-7.5,82,1.0,0.0,0.0,49
2022-01-03T04:00,-8.9,83,4.3,0.0,0.0,30
2022-01-03T05:00,-8.1,82,2.5,0.0,0.0,26
2022-01-03T06:00,-13.4,86,9.7,0.0,0.0,26
2022-01-03T07:00,-10.9,85,9.3,0.0,0.0,33
2022-01-03T08:00,-11.0,86,12.4,0.0,0.0,30
2022-01-03T09:00,-10.6,87,15.5,0.0,0.0,30
2022-01-03T10:00,-11.3,88,15.5,0.0,0.0,29
2022-01-03T11:00,-11.4,88,15.7,0.0,0.0,30
2022-01-03T12:00,-10.6,85,15.2,0.0,0.0,30
2022-01-03T13:00,-9.0,83,14.5,0.0,0.0,30
2022-01-03T14:00,-7.5,81,14.3,0.0,0.0,29
2022-01-03T15:00,-6.4,80,14.6,0.0,0.0,30
2022-01-03T16:00,-5.9,80,13.7,0.0,0.0,30
2022-01-03T17:00,-6.0,81,15.2,0.0,0.0,30
2022-01-03T18:00,-6.6,84,14.0,0.0,0.0,30
2022-01-03T19:00,-8.7,87,13.8,0.0,0.0,30
2022-01-03T20:00,-9.1,87,14.9,0.0,0.0,30
2022-01-03T21:00,-9.6,87,12.3,0.0,0.0,64
2022-01-03T22:00,-9.4,86,13.3,0.0,0.0,30
2022-01-03T23:00,-9.6,86,11.2,0.0,0.0,40
2022-01-04T00:00,-9.7,86,13.3,0.0,0.0,89
2022-01-04T01:00,-9.2,85,12.2,0.0,0.0,87
2022-01-04T02:00,-8.8,84,14.2,0.0,0.0,88
2022-01-04T03:00,-9.0,84,13.7,0.0,0.07,87
2022-01-04T04:00,-9.2,85,15.8,0.0,0.0,90
2022-01-04T05:00,-9.2,85,16.3,0.0,0.0,87
2022-01-04T06:00,-9.4,85,13.7,0.0,0.0,90
2022-01-04T07:00,-11.2,81,15.1,0.0,0.0,100
2022-01-04T08:00,-11.3,80,20.6,0.0,0.63,100
2022-01-04T09:00,-12.1,77,23.5,0.0,0.7,100
2022-01-04T10:00,-14.7,75,27.8,0.0,1.12,100
2022-01-04T11:00,-16.4,72,29.6,0.0,0.42,100
2022-01-04T12:00,-17.3,71,31.9,0.0,0.21,100
2022-01-04T13:00,-18.0,69,32.2,0.0,0.07,100
2022-01-04T14:00,-18.1,67,27.5,0.0,0.07,100
2022-01-04T15:00,-18.4,66,28.5,0.0,0.0,100
2022-01-04T16:00,-18.9,64,26.3,0.0,0.0,100
2022-01-04T17:00,-19.3,64,23.2,0.0,0.0,100
2022-01-04T18:00,-19.9,64,23.4,0.0,0.0,100
2022-01-04T19:00,-21.5,60,22.7,0.0,0.0,70
2022-01-04T20:00,-22.1,60,22.4,0.0,0.0,100
2022-01-04T21:00,-22.3,61,23.6,0.0,0.0,63
2022-01-04T22:00,-22.2,61,23.0,0.0,0.0,74
2022-01-04T23:00,-22.2,62,19.3,0.0,0.0,100
2022-01-05T00:00,-22.2,63,17.3,0.0,0.0,100
2022-01-05T01:00,-22.6,63,16.8,0.0,0.0,20
2022-01-05T02:00,-23.1,64,15.5,0.0,0.0,10
2022-01-05T03:00,-23.5,64,14.5,0.0,0.0,12
2022-01-05T04:00,-23.9,64,13.5,0.0,0.0,18
2022-01-05T05:00,-24.1,65,13.0,0.0,0.0,41
2022-01-05T06:00,-24.1,65,12.4,0.0,0.0,100
2022-01-05T07:00,-23.7,66,14.2,0.0,0.0,99
2022-01-05T08:00,-24.1,65,10.3,0.0,0.0,90
2022-01-05T09:00,-24.3,64,9.7,0.0,0.0,89
2022-01-05T10:00,-24.2,64,10.3,0.0,0.0,90
2022-01-05T11:00,-23.8,63,13.3,0.0,0.0,90
2022-01-05T12:00,-23.5,62,15.3,0.0,0.0,89
2022-01-05T13:00,-22.6,60,16.0,0.0,0.0,91
2022-01-05T14:00,-21.5,59,16.0,0.0,0.0,76
2022-01-05T15:00,-20.9,58,16.0,0.0,0.0,51
2022-01-05T16:00,-20.7,58,13.9,0.0,0.0,87
2022-01-05T17:00,-21.0,57,12.5,0.0,0.0,90
2022-01-05T18:00,-21.8,57,11.5,0.0,0.0,90
2022-01-05T19:00,-23.6,61,9.7,0.0,0.0,50
2022-01-05T20:00,-25.9,64,8.7,0.0,0.0,54
2022-01-05T21:00,-26.3,62,8.9,0.0,0.0,36
2022-01-05T22:00,-26.6,62,9.2,0.0,0.0,28
2022-01-05T23:00,-27.0,62,9.3,0.0,0.0,18
2022-01-06T00:00,-27.5,62,9.7,0.0,0.0,36
2022-01-06T01:00,-27.7,63,10.1,0.0,0.0,28
2022-01-06T02:00,-28.8,62,11.4,0.0,0.0,14
2022-01-06T03:00,-29.4,63,11.2,0.0,0.0,6
2022-01-06T04:00,-28.2,60,9.4,0.0,0.0,8
2022-01-06T05:00,-26.2,56,8.4,0.0,0.0,9
2022-01-06T06:00,-25.3,56,7.9,0.0,0.0,3
2022-01-06T07:00,-28.9,66,9.1,0.0,0.0,5
2022-01-06T08:00,-27.5,64,7.9,0.0,0.0,13
2022-01-06T09:00,-27.9,63,8.2,0.0,0.0,22
2022-01-06T10:00,-27.4,61,4.8,0.0,0.0,11
2022-01-06T11:00,-27.1,57,3.0,0.0,0.0,30
2022-01-06T12:00,-27.5,61,4.0,0.0,0.0,30
2022-01-06T13:00,-25.9,59,6.4,0.0,0.0,30
2022-01-06T14:00,-24.5,58,5.5,0.0,0.0,30
2022-01-06T15:00,-23.8,59,7.3,0.0,0.0,69
2022-01-06T16:00,-23.6,62,7.8,0.0,0.0,85
2022-01-06T17:00,-23.2,63,6.3,0.0,0.0,89
2022-01-06T18:00,-23.1,65,6.6,0.0,0.0,90
2022-01-06T19:00,-24.1,69,13.0,0.0,0.0,90
2022-01-06T20:00,-24.2,72,11.3,0.0,0.0,90
2022-01-06T21:00,-24.1,69,11.9,0.0,0.0,86
2022-01-06T22:00,-24.8,69,9.8,0.0,0.0,89
2022-01-06T23:00,-24.6,69,10.6,0.0,0.0,91
2022-01-07T00:00,-23.8,68,12.3,0.0,0.0,37
2022-01-07T01:00,-23.8,69,11.2,0.0,0.0,84
2022-01-07T02:00,-23.2,70,13.0,0.0,0.0,94
2022-01-07T03:00,-22.4,70,14.4,0.0,0.0,51
2022-01-07T04:00,-21.8,73,13.4,0.0,0.0,92
2022-01-07T05:00,-20.9,73,15.5,0.0,0.0,90
2022-01-07T06:00,-19.6,74,17.1,0.0,0.07,95
2022-01-07T07:00,-19.7,76,18.7,0.0,0.07,100
2022-01-07T08:00,-18.9,77,16.4,0.0,0.0,100
2022-01-07T09:00,-17.7,78,16.8,0.0,0.0,100
2022-01-07T10:00,-16.4,79,18.0,0.0,0.0,100
2022-01-07T11:00,-14.8,81,18.1,0.0,0.07,100
2022-01-07T12:00,-13.0,82,17.2,0.0,0.07,100
2022-01-07T13:00,-11.1,82,14.4,0.0,0.07,88
2022-01-07T14:00,-8.8,82,11.1,0.0,0.0,88
2022-01-07T15:00,-7.0,81,7.9,0.0,0.0,52
2022-01-07T16:00,-5.8,83,8.3,0.0,0.0,47
2022-01-07T17:00,-5.1,84,7.0,0.0,0.0,75
2022-01-07T18:00,-5.1,84,7.9,0.0,0.0,90
2022-01-07T19:00,-5.5,89,8.0,0.0,0.0,90
2022-01-07T20:00,-4.2,90,6.5,0.0,0.0,83
2022-01-07T21:00,-3.5,88,7.4,0.0,0.0,90
2022-01-07T22:00,-3.4,87,8.7,0.0,0.0,31
2022-01-07T23:00,-5.0,89,10.0,0.0,0.0,58
2022-01-08T00:00,-3.3,87,10.8,0.0,0.0,82
2022-01-08T01:00,-2.3,85,12.6,0.0,0.28,68
2022-01-08T02:00,-2.4,85,22.2,0.0,0.07,100
2022-01-08T03:00,-5.7,87,26.4,0.0,0.07,100
2022-01-08T04:00,-7.9,81,25.8,0.0,0.0,14
2022-01-08T05:00,-10.3,78,25.6,0.0,0.0,36
2022-01-08T06:00,-12.4,75,24.1,0.0,0.0,78
2022-01-08T07:00,-16.3,69,21.2,0.0,0.0,43
2022-01-08T08:00,-18.4,66,18.8,0.0,0.0,69
2022-01-08T09:00,-19.2,65,19.8,0.0,0.0,57
2022-01-08T10:00,-19.3,65,18.8,0.0,0.0,93
2022-01-08T11:00,-18.8,64,20.9,0.0,0.0,74
2022-01-08T12:00,-18.1,64,25.3,0.0,0.0,63
2022-01-08T13:00,-17.8,64,25.6,0.0,0.0,61
2022-01-08T14:00,-17.5,63,25.8,0.0,0.0,62
2022-01-08T15:00,-17.2,62,25.3,0.0,0.0,8
2022-01-08T16:00,-17.2,60,23.7,0.0,0.0,4
2022-01-08T17:00,-17.3,60,17.2,0.0,0.0,0
2022-01-08T18:00,-18.2,62,12.6,0.0,0.0,0
2022-01-08T19:00,-18.5,63,16.3,0.0,0.0,37
2022-01-08T20:00,-19.0,64,16.8,0.0,0.0,0
2022-01-08T21:00,-19.8,64,14.0,0.0,0.0,0
2022-01-08T22:00,-20.6,65,10.0,0.0,0.0,0
2022-01-08T23:00,-23.4,68,12.7,0.0,0.0,0
2022-01-09T00:00,-22.1,64,10.4,0.0,0.0,0
2022-01-09T01:00,-21.8,64,10.0,0.0,0.0,0
2022-01-09T02:00,-24.7,71,12.7,0.0,0.0,0
2022-01-09T03:00,-24.7,73,11.5,0.0,0.0,0
2022-01-09T04:00,-26.0,76,12.7,0.0,0.0,33
2022-01-09T05:00,-25.5,77,11.3,0.0,0.0,39
2022-01-09T06:00,-23.4,76,8.7,0.0,0.0,26
2022-01-09T07:00,-23.6,75,4.4,0.0,0.0,21
2022-01-09T08:00,-23.1,74,0.8,0.0,0.0,22
2022-01-09T09:00,-22.5,72,4.7,0.0,0.0,62
2022-01-09T10:00,-21.7,69,5.9,0.0,0.0,100
2022-01-09T11:00,-19.9,66,5.4,0.0,0.0,100
2022-01-09T12:00,-18.4,65,4.9,0.0,0.0,100
2022-01-09T13:00,-17.4,63,4.3,0.0,0.0,22
2022-01-09T14:00,-16.5,62,4.7,0.0,0.0,9
2022-01-09T15:00,-15.8,62,5.8,0.0,0.0,14
2022-01-09T16:00,-15.8,63,6.0,0.0,0.0,35
2022-01-09T17:00,-16.0,65,5.0,0.0,0.0,38
2022-01-09T18:00,-17.5,69,5.4,0.0,0.0,19
2022-01-09T19:00,-20.0,73,4.8,0.0,0.0,25
2022-01-09T20:00,-19.7,71,4.7,0.0,0.0,15
2022-01-09T21:00,-19.9,73,5.0,0.0,0.0,29
2022-01-09T22:00,-19.8,73,5.4,0.0,0.0,61
2022-01-09T23:00,-19.0,71,3.6,0.0,0.0,59
2022-01-10T00:00,-19.0,73,2.9,0.0,0.0,0
2022-01-10T01:00,-18.7,67,4.0,0.0,0.0,9
2022-01-10T02:00,-18.7,68,4.3,0.0,0.0,1
2022-01-10T03:00,-19.3,71,5.9,0.0,0.0,0
2022-01-10T04:00,-20.6,73,8.0,0.0,0.0,20
2022-01-10T05:00,-19.6,70,6.9,0.0,0.0,60
2022-01-10T06:00,-20.5,75,9.5,0.0,0.0,68
2022-01-10T07:00,-19.4,70,7.0,0.0,0.0,87
2022-01-10T08:00,-20.2,74,8.1,0.0,0.0,62
2022-01-10T09:00,-19.1,72,5.8,0.0,0.0,22
2022-01-10T10:00,-18.6,77,4.7,0.0,0.0,1
2022-01-10T11:00,-17.6,79,4.8,0.0,0.0,35
2022-01-10T12:00,-15.2,73,2.6,0.0,0.0,67
2022-01-10T13:00,-12.8,68,3.8,0.0,0.0,95
2022-01-10T14:00,-10.8,69,4.5,0.0,0.0,11
2022-01-10T15:00,-9.1,68,6.5,0.0,0.0,21
2022-01-10T16:00,-8.2,70,7.8,0.0,0.0,9
2022-01-10T17:00,-8.0,71,9.3,0.0,0.0,0
2022-01-10T18:00,-8.3,72,10.9,0.0,0.0,0
2022-01-10T19:00,-9.1,77,9.3,0.0,0.0,5
2022-01-10T20:00,-10.1,77,10.9,0.0,0.0,6
2022-01-10T21:00,-9.9,78,10.7,0.0,0.0,0
2022-01-10T22:00,-9.0,78,12.1,0.0,0.0,15
2022-01-10T23:00,-7.2,75,13.5,0.0,0.0,30
2022-01-11T00:00,-4.2,71,16.0,0.0,0.0,30
2022-01-11T01:00,-2.6,69,14.8,0.0,0.0,30
2022-01-11T02:00,-0.4,66,18.8,0.0,0.0,30
2022-01-11T03:00,1.5,65,23.8,0.0,0.0,57
2022-01-11T04:00,1.2,67,24.8,0.0,0.0,13
2022-01-11T05:00,1.3,69,29.2,0.0,0.0,0
2022-01-11T06:00,1.4,70,32.3,0.0,0.0,3
2022-01-11T07:00,2.5,74,34.8,0.0,0.0,0
2022-01-11T08:00,2.2,71,29.4,0.0,0.0,0
2022-01-11T09:00,1.4,73,22.3,0.0,0.0,1
2022-01-11T10:00,-0.0,77,17.0,0.0,0.0,29
2022-01-11T11:00,0.4,76,17.3,0.0,0.0,30
2022-01-11T12:00,1.9,72,18.5,0.0,0.0,12
2022-01-11T13:00,2.7,70,21.8,0.0,0.0,14
2022-01-11T14:00,3.9,66,24.7,0.0,0.0,33
2022-01-11T15:00,3.8,66,18.8,0.0,0.0,30
2022-01-11T16:00,3.3,67,19.1,0.0,0.0,71
2022-01-11T17:00,2.9,69,18.9,0.0,0.0,29
2022-01-11T18:00,2.1,71,19.0,0.0,0.0,27
2022-01-11T19:00,1.7,77,14.8,0.0,0.0,23
2022-01-11T20:00,1.9,77,17.1,0.0,0.0,4
2022-01-11T21:00,2.2,78,17.9,0.0,0.0,11
2022-01-11T22:00,2.6,78,19.2,0.0,0.0,9
2022-01-11T23:00,3.2,77,20.2,0.0,0.0,0
2022-01-12T00:00,3.0,78,20.1,0.0,0.0,0
2022-01-12T01:00,2.9,77,20.5,0.0,0.0,22
2022-01-12T02:00,2.6,77,20.0,0.0,0.0,8
2022-01-12T03:00,1.8,80,17.1,0.0,0.0,30
2022-01-12T04:00,0.9,82,14.2,0.0,0.0,30
2022-01-12T05:00,0.4,83,13.1,0.0,0.0,30
2022-01-12T06:00,0.6,83,12.9,0.0,0.0,33
2022-01-12T07:00,-0.1,85,9.2,0.0,0.0,90
2022-01-12T08:00,-1.3,88,7.9,0.0,0.0,75
2022-01-12T09:00,-1.6,89,10.2,0.0,0.0,29
2022-01-12T10:00,-1.4,88,11.4,0.0,0.0,90
2022-01-12T11:00,1.0,87,12.1,0.0,0.0,94
2022-01-12T12:00,1.9,85,15.6,0.0,0.0,100
2022-01-12T13:00,3.0,81,14.8,0.0,0.0,76
2022-01-12T14:00,5.2,74,17.7,0.0,0.0,31
2022-01-12T15:00,6.1,72,19.2,0.0,0.0,31
2022-01-12T16:00,6.2,72,19.3,0.0,0.0,30
2022-01-12T17:00,6.5,69,20.9,0.0,0.0,39
2022-01-12T18:00,5.0,75,18.2,0.0,0.0,52
2022-01-12T19:00,3.3,79,14.4,0.0,0.0,74
2022-01-12T20:00,2.6,81,13.7,0.0,0.0,40
2022-01-12T21:00,1.9,83,14.4,0.0,0.0,40
2022-01-12T22:00,2.0,83,14.7,0.0,0.0,29
2022-01-12T23:00,1.8,83,15.8,0.0,0.0,0
2022-01-13T00:00,1.8,83,14.8,0.0,0.0,0
2022-01-13T01:00,1.2,85,16.7,0.0,0.0,4
2022-01-13T02:00,0.6,86,16.5,0.0,0.0,23
2022-01-13T03:00,-0.0,87,15.3,0.0,0.0,53
2022-01-13T04:00,-0.4,88,13.4,0.0,0.0,82
2022-01-13T05:00,-0.3,88,11.1,0.0,0.0,90
2022-01-13T06:00,-0.5,89,8.2,0.0,0.0,89
2022-01-13T07:00,-0.6,88,6.2,0.0,0.0,90
2022-01-13T08:00,-2.2,91,7.1,0.0,0.0,90
2022-01-13T09:00,-1.7,93,8.3,0.0,0.0,92
2022-01-13T10:00,-1.6,94,9.2,0.0,0.0,100
2022-01-13T11:00,-1.5,94,10.8,0.0,0.0,100
2022-01-13T12:00,-1.4,95,11.9,0.0,0.0,100
2022-01-13T13:00,-0.9,96,13.3,0.0,0.0,100
2022-01-13T14:00,0.1,95,13.4,0.0,0.0,94
2022-01-13T15:00,1.0,92,11.9,0.0,0.0,91
2022-01-13T16:00,1.0,93,12.6,0.0,0.0,88
2022-01-13T17:00,1.0,94,12.7,0.0,0.0,90
2022-01-13T18:00,0.9,96,9.4,0.0,0.0,90
2022-01-13T19:00,0.3,96,5.9,0.0,0.0,89
2022-01-13T20:00,-0.5,97,6.5,0.0,0.0,90
2022-01-13T21:00,-0.9,97,3.6,0.0,0.0,74
2022-01-13T22:00,-1.2,95,7.3,0.0,0.0,64
2022-01-13T23:00,-0.1,90,13.5,0.3,0.0,52
2022-01-14T00:00,1.2,87,21.4,0.2,0.0,59
2022-01-14T01:00,1.4,91,31.6,0.0,0.0,100
2022-01-14T02:00,0.4,92,36.3,0.0,0.0,100
2022-01-14T03:00,-0.5,89,31.7,0.0,0.0,98
2022-01-14T04:00,-1.0,88,29.1,0.0,0.0,90
2022-01-14T05:00,-1.2,88,30.5,0.0,0.0,92
2022-01-14T06:00,-1.5,89,28.3,0.0,0.0,90
2022-01-14T07:00,-1.4,88,22.7,0.0,0.0,100
2022-01-14T08:00,-1.6,88,19.7,0.0,0.0,97
2022-01-14T09:00,-1.9,89,18.7,0.0,0.0,100
2022-01-14T10:00,-2.1,88,17.7,0.0,0.0,100
2022-01-14T11:00,-1.9,86,16.7,0.0,0.0,100
2022-01-14T12:00,-1.7,86,18.0,0.0,0.0,100
2022-01-14T13:00,-1.4,82,16.9,0.0,0.0,92
2022-01-14T14:00,-0.6,74,15.9,0.0,0.0,90
2022-01-14T15:00,-0.4,72,13.9,0.0,0.0,90
2022-01-14T16:00,-0.6,73,12.6,0.0,0.0,90
2022-01-14T17:00,-0.7,72,10.5,0.0,0.0,90
2022-01-14T18:00,-1.4,75,4.7,0.0,0.0,90
2022-01-14T19:00,-2.6,81,4.6,0.0,0.0,90
2022-01-14T20:00,-2.8,82,2.7,0.0,0.0,90
2022-01-14T21:00,-3.1,84,8.2,0.0,0.0,100
2022-01-14T22:00,-3.7,88,10.7,0.0,0.0,100
2022-01-14T23:00,-4.1,90,10.2,0.0,0.0,100
2022-01-15T00:00,-4.2,92,10.4,0.0,0.0,96
2022-01-15T01:00,-4.4,92,10.5,0.0,0.0,77
2022-01-15T02:00,-4.9,91,12.1,0.0,0.0,32
2022-01-15T03:00,-5.2,92,12.4,0.0,0.0,30
2022-01-15T04:00,-5.2,92,14.7,0.0,0.0,30
2022-01-15T05:00,-4.7,91,14.2,0.0,0.0,30
2022-01-15T06:00,-4.9,92,14.0,0.0,0.0,29
2022-01-15T07:00,-4.1,91,16.1,0.0,0.0,23
2022-01-15T08:00,-4.2,90,14.7,0.0,0.0,24
2022-01-15T09:00,-4.1,88,15.8,0.0,0.0,32
2022-01-15T10:00,-3.6,87,18.1,0.0,0.0,32
2022-01-15T11:00,-2.6,85,18.8,0.0,0.0,27
2022-01-15T12:00,-1.3,85,17.6,0.0,0.0,26
2022-01-15T13:00,1.0,74,16.4,0.0,0.0,27
2022-01-15T14:00,2.9,67,14.8,0.0,0.0,56
2022-01-15T15:00,4.7,61,20.1,0.0,0.0,12
2022-01-15T16:00,6.8,53,30.1,0.0,0.0,29
2022-01-15T17:00,6.5,57,23.9,0.0,0.0,35
2022-01-15T18:00,5.1,63,21.1,0.0,0.0,32
2022-01-15T19:00,3.4,74,21.4,0.0,0.0,37
2022-01-15T20:00,2.7,79,22.8,0.0,0.0,41
2022-01-15T21:00,1.6,85,18.6,0.0,0.0,85
2022-01-15T22:00,1.5,84,17.6,0.0,0.0,90
2022-01-15T23:00,1.4,83,17.3,0.1,0.0,91
2022-01-16T00:00,1.8,82,18.3,0.0,0.0,88
2022-01-16T01:00,2.1,80,18.6,0.0,0.0,83
2022-01-16T02:00,2.5,78,18.2,0.0,0.0,60
2022-01-16T03:00,2.9,76,21.7,0.0,0.0,60
2022-01-16T04:00,2.8,77,21.1,0.0,0.0,58
2022-01-16T05:00,2.3,81,21.4,0.0,0.0,58
2022-01-16T06:00,1.6,83,21.7,0.0,0.0,29
2022-01-16T07:00,2.1,77,24.3,0.0,0.0,22
2022-01-16T08:00,1.3,75,22.8,0.0,0.0,11
2022-01-16T09:00,1.1,70,21.2,0.0,0.0,0
2022-01-16T10:00,0.6,71,20.6,0.0,0.0,0
2022-01-16T11:00,1.2,70,21.3,0.0,0.0,0
2022-01-16T12:00,2.5,65,19.8,0.0,0.0,0
2022-01-16T13:00,3.5,60,18.0,0.0,0.0,0
2022-01-16T14:00,4.2,56,19.3,0.0,0.0,4
2022-01-16T15:00,4.6,53,18.3,0.0,0.0,3
2022-01-16T16:00,4.7,53,16.8,0.0,0.0,22
2022-01-16T17:00,3.9,58,14.5,0.0,0.0,10
2022-01-16T18:00,1.5,70,11.3,0.0,0.0,4
2022-01-16T19:00,-1.2,82,10.7,0.0,0.0,1
2022-01-16T20:00,-2.5,84,8.9,0.0,0.0,18
2022-01-16T21:00,-3.1,85,8.2,0.0,0.0,30
2022-01-16T22:00,-4.0,87,9.7,0.0,0.0,82
2022-01-16T23:00,-3.3,90,7.1,0.0,0.0,90
2022-01-17T00:00,-3.4,92,7.3,0.0,0.0,90
2022-01-17T01:00,-1.5,89,5.9,0.0,0.0,90
2022-01-17T02:00,-1.0,88,5.7,0.0,0.0,93
2022-01-17T03:00,-1.0,90,5.6,0.0,0.0,90
2022-01-17T04:00,-0.6,88,6.8,0.0,0.0,78
2022-01-17T05:00,-1.7,89,7.4,0.0,0.0,47
2022-01-17T06:00,-1.7,84,9.7,0.0,0.0,30
2022-01-17T07:00,-3.0,86,10.0,0.0,0.0,31
2022-01-17T08:00,-2.7,85,8.8,0.0,0.0,29
2022-01-17T09:00,-3.3,87,8.0,0.0,0.0,24
2022-01-17T10:00,-3.9,89,8.0,0.0,0.0,15
2022-01-17T11:00,-1.8,84,9.0,0.0,0.0,36
2022-01-17T12:00,0.4,76,7.3,0.0,0.0,50
2022-01-17T13:00,2.2,70,3.7,0.0,0.0,59
2022-01-17T14:00,3.6,66,1.1,0.1,0.07,58
2022-01-17T15:00,3.8,68,8.0,0.0,0.0,5
2022-01-17T16:00,4.3,67,8.3,0.0,0.0,0
2022-01-17T17:00,3.8,67,11.2,0.0,0.0,6
2022-01-17T18:00,1.5,78,8.1,0.0,0.0,13
2022-01-17T19:00,-0.3,84,11.5,0.0,0.0,29
2022-01-17T20:00,1.0,81,10.8,0.0,0.0,23
2022-01-17T21:00,1.4,81,13.7,0.0,0.0,21
2022-01-17T22:00,2.1,81,16.7,0.0,0.0,17
2022-01-17T23:00,2.2,78,17.1,0.0,0.0,13
2022-01-18T00:00,4.0,70,25.9,0.0,0.0,16
2022-01-18T01:00,5.2,63,25.2,0.0,0.0,0
2022-01-18T02:00,4.9,64,23.7,0.0,0.0,0
2022-01-18T03:00,4.7,63,27.4,0.0,0.0,0
2022-01-18T04:00,3.9,67,28.9,0.0,0.0,7
2022-01-18T05:00,2.6,75,33.1,0.0,0.0,98
2022-01-18T06:00,0.6,84,38.0,0.0,0.0,100
2022-01-18T07:00,-3.7,73,43.1,0.0,0.0,100
2022-01-18T08:00,-5.7,69,33.8,0.0,0.07,100
2022-01-18T09:00,-7.0,69,33.2,0.0,0.0,100
2022-01-18T10:00,-9.2,62,35.4,0.0,0.0,40
2022-01-18T11:00,-10.3,60,32.5,0.0,0.0,100
2022-01-18T12:00,-11.1,53,30.6,0.0,0.0,100
2022-01-18T13:00,-11.3,51,30.1,0.0,0.0,100
2022-01-18T14:00,-11.4,48,28.0,0.0,0.0,100
2022-01-18T15:00,-11.4,47,27.3,0.0,0.0,90
2022-01-18T16:00,-12.2,46,28.0,0.0,0.0,85
2022-01-18T17:00,-13.3,47,27.0,0.0,0.0,71
2022-01-18T18:00,-14.6,50,25.5,0.0,0.0,73
2022-01-18T19:00,-17.6,52,21.6,0.0,0.0,3
2022-01-18T20:00,-18.0,54,21.9,0.0,0.0,47
2022-01-18T21:00,-18.4,55,22.7,0.0,0.0,33
2022-01-18T22:00,-18.7,55,22.7,0.0,0.0,28
2022-01-18T23:00,-19.0,54,21.9,0.0,0.0,32
2022-01-19T00:00,-19.2,55,21.6,0.0,0.0,25
2022-01-19T01:00,-19.5,55,20.6,0.0,0.0,36
2022-01-19T02:00,-19.8,55,19.9,0.0,0.0,40
2022-01-19T03:00,-20.2,56,19.5,0.0,0.0,27
2022-01-19T04:00,-20.6,53,17.0,0.0,0.0,0
2022-01-19T05:00,-20.8,53,14.8,0.0,0.0,0
